Rank,Japanese,Kana,Vietnamese,English
923,区間,くかん,,
924,単独,たんどく,,
925,弱点,じゃくてん,,
926,スケール,すけーる,,
927,可用性,かようせい,,
928,後者,こうしゃ,,
929,期待する,きたいする,,
930,プリンタ,ぷりんた,,
931,着信,ちゃくしん,,
932,性質,せいしつ,,
933,実態,じったい,,
934,エディタ,えでぃた,,
935,活発,かっぱつ,,
936,ガイドライン,がいどらいん,,
937,経緯,けいい,,
938,常時,じょうじ,,
939,ヘルプ,へるぷ,,
940,自前,じまえ,,
941,プレビュー,ぷれびゅー,,
942,ロジック,ろじっく,,
943,財産,ざいさん,,
944,抽象,ちゅうしょう,,
945,帯域,たいいき,,
946,侵害,しんがい,,
947,座標,ざひょう,,
948,呼びかける,よびかける,,
949,収める,おさめる,,
950,兼ねる,かねる,,
951,添付する,てんぷする,,
952,省略する,しょうりゃくする,,
953,無断,むだん,,
954,子会社,こがいしゃ,,
955,利便,りべん,,
956,高性能,こうせいのう,,
957,アスキー,あすきー,,
958,ミドルウェア,みどるうぇあ,,
959,営利,えいり,,
960,ワークフロー,わーくふろー,,
961,最短,さいたん,,
962,蓄積する,ちくせきする,,
963,入出力,にゅうしゅつりょく,,
964,マルウェア,まるうぇあ,,
965,送受信,そうじゅしん,,
966,保管,ほかん,,
967,スタック,すたっく,,
968,立ち上がる,たちあがる,,
969,先端,せんたん,,
970,改訂,かいてい,,
971,革新,かくしん,,
972,整う,ととのう,,
973,復旧,ふっきゅう,,
974,探索する,たんさくする,,
975,加わる,くわわる,,
976,ファースト,ふぁーすと,,
977,記憶する,きおくする,,
978,水準,すいじゅん,,
979,付加する,ふかする,,
980,商業,しょうぎょう,,
981,移る,うつる,,
982,ステータス,すてーたす,,
983,プロトタイプ,ぷろとたいぷ,,
984,絵文字,えもじ,,
985,継承する,けいしょうする,,
986,知らせる,しらせる,,
987,スキャンする,すきゃんする,,
988,ベンチマーク,べんちまーく,,
989,混乱,こんらん,,
990,ロックする,ろっくする,,
991,公表する,こうひょうする,,
992,社名,しゃめい,,
993,総務,そうむ,,
994,達成する,たっせいする,,
995,試す,ためす,,
996,担う,になう,,
997,変動,へんどう,,
998,解放,かいほう,,
999,中止する,ちゅうしする,,
1000,原理,げんり,,
1001,先進,せんしん,,
1002,見出し,みだし,,
1003,混在する,こんざいする,,
1004,追加できる,ついかできる,,
1005,オンラインゲーム,おんらいんげーむ,,
1006,使いこなす,つかいこなす,,
1007,動向,どうこう,,
1008,貢献する,こうけんする,,
1009,優先度,ゆうせんど,,
1010,潜在,せんざい,,
1011,デバッグ,でばっぐ,,
1012,一環,いっかん,,
1013,属す,ぞくす,,
1014,ポップアップ,ぽっぷあっぷ,,
1015,構想,こうそう,,
1016,情報交換,じょうほうこうかん,,
1017,セットアップ,せっとあっぷ,,
1018,カラム,からむ,,
1019,提唱する,ていしょうする,,
1020,半角,はんかく,,
1021,悪用,あくよう,,
1022,衛星,えいせい,,
1023,懸念する,けねんする,,
1024,レーザー,れーざー,,
1025,連動する,れんどうする,,
1026,イノベーション,いのべーしょん,,
1027,短縮する,たんしゅくする,,
1028,トピック,とぴっく,,
1029,本書,ほんしょ,,
1030,公衆,こうしゅう,,
1031,定額,ていがく,,
1032,通過する,つうかする,,
1033,モニタ,もにた,,
1034,タイル,たいる,,
1035,入手できる,にゅうしゅできる,,
1036,言及,げんきゅう,,
1037,結合する,けつごうする,,
1038,有償,ゆうしょう,,
1039,ユーティリティ,ゆーてぃりてぃ,,
1040,開設する,かいせつする,,
1041,垂直,すいちょく,,
1042,読み取り専用,よみとりせんよう,,
1043,著名,ちょめい,,
1044,プッシュ,ぷっしゅ,,
1045,取り除く,とりのぞく,,
1046,推薦する,すいせんする,,
1047,相対,そうたい,,
1048,見直し,みなおし,,
1049,切り替わる,きりかわる,,
1050,順序,じゅんじょ,,
1051,再開する,さいかいする,,
1052,支障,ししょう,,
1053,執筆,しっぴつ,,
1054,見やすい,みやすい,,
1055,直感,ちょっかん,,
1056,組み立てる,くみたてる,,
1057,エンタープライズ,えんたーぷらいず,,
1058,レジストリ,れじすとり,,
1059,見なす,みなす,,
1060,多重,たじゅう,,
1061,ソート,そーと,,
1062,デザインする,でざいんする,,
1063,情報処理,じょうほうしょり,,
1064,動作環境,どうさかんきょう,,
1065,視する,しする,,
1066,ベーシック,べーしっく,,
1067,仕掛ける,しかける,,
1068,知的,ちてき,,
1069,視覚,しかく,,
1070,部署,ぶしょ,,
1071,複合,ふくごう,,
1072,未知数,みちすう,,
1073,数多い,かずおおい,,
1074,非同期,ひどうき,,
1075,即座,そくざ,,
1076,ベンチャー,べんちゃー,,
1077,中断する,ちゅうだんする,,
1078,インストーラ,いんすとーら,,
1079,引き上げる,ひきあげる,,
1080,観測,かんそく,,
1081,左側,ひだりがわ,,
1082,下位,かい,,
1083,推定する,すいていする,,
1084,下部,かぶ,,
1085,参入,さんにゅう,,
1086,合成する,ごうせいする,,
1087,盛り込む,もりこむ,,
1088,経過する,けいかする,,
1089,全文検索,ぜんぶんけんさく,,
1090,ユーザー名,ゆーざーめい,,
1091,気象,きしょう,,
1092,解凍する,かいとうする,,
1093,明示する,めいじする,,
1094,認可,にんか,,
1095,プロセッサ,ぷろせっさ,,
1096,通称,つうしょう,,
1097,不正アクセス,ふせいあくせす,,
1098,法的,ほうてき,,
1099,認定する,にんていする,,
1100,パブリック,ぱぶりっく,,
1101,学会,がっかい,,
1102,位置する,いちする,,
1103,貼り付ける,はりつける,,
1104,区切る,くぎる,,
1105,画像ファイル,がぞうふぁいる,,
1106,読み書きする,よみかきする,,
1107,バックグラウンド,ばっくぐらうんど,,
1108,消去する,しょうきょする,,
1109,競合する,きょうごうする,,
1110,電話機,でんわき,,
1111,前者,ぜんしゃ,,
1112,タッチパネル,たっちぱねる,,
1113,バックエンド,ばっくえんど,,
1114,省く,はぶく,,
1115,単価,たんか,,
1116,振興,しんこう,,
1117,カウントする,かうんとする,,
1118,指向,しこう,,
1119,マッピング,まっぴんぐ,,
1120,コンサルティング,こんさるてぃんぐ,,
1121,エントリ,えんとり,,
1122,コンパイラ,こんぱいら,,
1123,膨大,ぼうだい,,
1124,排除する,はいじょする,,
1125,事象,じしょう,,
1126,コネクタ,こねくた,,
1127,踏まえる,ふまえる,,
1128,リサーチ,りさーち,,
1129,バンドル,ばんどる,,
1130,接触する,せっしょくする,,
1131,有用,ゆうよう,,
1132,併用する,へいようする,,
1133,加速する,かそくする,,
1134,媒体,ばいたい,,
1135,曲線,きょくせん,,
1136,情報技術,じょうほうぎじゅつ,,
1137,遺伝子,いでんし,,
1138,自作,じさく,,
1139,改ざん,かいざん,,
1140,フロントエンド,ふろんとえんど,,
1141,マイコン,まいこん,,
1142,タイマー,たいまー,,
1143,クラッシュ,くらっしゅ,,
1144,考案する,こうあんする,,
1145,水平,すいへい,,
1146,いかなる,いかなる,,
1147,擬似,ぎじ,,
1148,プライバシー,ぷらいばしー,,
1149,有力,ゆうりょく,,
1150,秒間,びょうかん,,
1151,体系,たいけい,,
1152,末尾,まつび,,
1153,物体,ぶったい,,
1154,スパム,すぱむ,,
1155,プロモーション,ぷろもーしょん,,
1156,軽減する,けいげんする,,
1157,ベータ版,べーたばん,,
1158,バーチャル,ばーちゃる,,
1159,定数,ていすう,,
1160,仕込む,しこむ,,
1161,当該,とうがい,,
1162,選定する,せんていする,,
1163,多用する,たようする,,
1164,同名,どうめい,,
1165,レイヤ,れいや,,
1166,中継する,ちゅうけいする,,
1167,ズーム,ずーむ,,
1168,関連情報,かんれんじょうほう,,
1169,遷移する,せんいする,,
1170,ルーティング,るーてぃんぐ,,
1171,当面,とうめん,,
1172,推測する,すいそくする,,
1173,左上,ひだりうえ,,
1174,画像データ,がぞうでーた,,
1175,上昇する,じょうしょうする,,
1176,図形,ずけい,,
1177,見解,けんかい,,
1178,振る舞う,ふるまう,,
1179,集約する,しゅうやくする,,
1180,直結する,ちょっけつする,,
1181,マザーボード,まざーぼーど,,
1182,ドロップする,どろっぷする,,
1183,模索する,もさくする,,
1184,上書きする,うわがきする,,
1185,ファームウェア,ふぁーむうぇあ,,
1186,処理速度,しょりそくど,,
1187,ハッカー,はっかー,,
1188,マスタ,ますた,,
1189,追跡する,ついせきする,,
1190,厳密,げんみつ,,
1191,少数,しょうすう,,
1192,分解する,ぶんかいする,,
1193,連結する,れんけつする,,
1194,直近,ちょっきん,,
1195,空白,くうはく,,
1196,コラボレーション,こらぼれーしょん,,
1197,実行ファイル,じっこうふぁいる,,
1198,公開鍵,こうかいかぎ,,
1199,実務,じつむ,,
1200,算出する,さんしゅつする,,
1201,パレット,ぱれっと,,
1202,コマンドライン,こまんどらいん,,
1203,ビジュアル,びじゅある,,
1204,ヒットする,ひっとする,,
1205,発音する,はつおんする,,
1206,補完する,ほかんする,,
1207,シャット,しゃっと,,
1208,アプレット,あぷれっと,,
1209,遮断する,しゃだんする,,
1210,不足する,ふそくする,,
1211,改修する,かいしゅうする,,
1212,防止する,ぼうしする,,
1213,主力,しゅりょく,,
1214,両者,りょうしゃ,,
1215,トークン,とーくん,,
1216,半導体,はんどうたい,,
1217,添付ファイル,てんぷふぁいる,,
1218,前面,ぜんめん,,
1219,職務,しょくむ,,
1220,整数,せいすう,,
1221,典型,てんけい,,
1222,メールマガジン,めーるまがじん,,
1223,隣接する,りんせつする,,
1224,エッジ,えっじ,,
1225,見込み,みこみ,,
1226,コンピューティング,こんぴゅーてぃんぐ,,
1227,人員,じんいん,,
1228,表明する,ひょうめいする,,
1229,監査,かんさ,,
1230,共用する,きょうようする,,
1231,シンボル,しんぼる,,
1232,外観,がいかん,,
1233,停電,ていでん,,
1234,ハッシュタグ,はっしゅたぐ,,
1235,無関係,むかんけい,,
1236,ネットワーク機器,ねっとわーくきき,,
1237,除去する,じょきょする,,
1238,携帯端末,けいたいたんまつ,,
1239,使い分ける,つかいわける,,
1240,ポインタ,ぽいんた,,
1241,備わる,そなわる,,
1242,スモール,すもーる,,
1243,包括,ほうかつ,,
1244,プロバイダ,ぷろばいだ,,
1245,データ分析,でーたぶんせき,,
1246,地理,ちり,,
1247,分散する,ぶんさんする,,
1248,無視する,むしする,,
1249,加速度,かそくど,,
1250,アルファベット,あるふぁべっと,,
1251,電圧,でんあつ,,
1252,流用する,りゅうようする,,
1253,類似する,るいじする,,
1254,氏名,しめい,,
1255,財団,ざいだん,,
1256,差し込む,さしこむ,,
1257,デベロッパー,でべろっぱー,,
1258,電卓,でんたく,,
1259,スコープ,すこーぷ,,
1260,作り出す,つくりだす,,
1261,符号,ふごう,,
1262,短期間,たんきかん,,
1263,拡張性,かくちょうせい,,
1264,メインフレーム,めいんふれーむ,,
1265,メタデータ,めたでーた,,
1266,発明する,はつめいする,,
1267,セクション,せくしょん,,
1268,追記する,ついきする,,
1269,移転,いてん,,
1270,透過する,とうかする,,
1271,ブリッジ,ぶりっじ,,
1272,小文字,こもじ,,
1273,配下,はいか,,
1274,関連付ける,かんれんづける,,
1275,多機能,たきのう,,
1276,実体,じったい,,
1277,ダブルクリック,だぶるくりっく,,
1278,プラグ,ぷらぐ,,
1279,インタラクティブ,いんたらくてぃぶ,,
1280,供給,きょうきゅう,,
1281,不十分,ふじゅうぶん,,
1282,グリッド,ぐりっど,,
1283,デメリット,でめりっと,,
1284,定型,ていけい,,
1285,改行する,かいぎょうする,,
1286,不可欠,ふかけつ,,
1287,プロキシサーバ,ぷろきしさーば,,
1288,国土,こくど,,
1289,要約する,ようやくする,,
1290,マルチメディア,まるちめでぃあ,,
1291,配慮する,はいりょする,,
1292,即時,そくじ,,
1293,修復する,しゅうふくする,,
1294,量子,りょうし,,
1295,フェーズ,ふぇーず,,
1296,英単語,えいたんご,,
1297,直線,ちょくせん,,
1298,大文字,おおもじ,,
1299,永続,えいぞく,,
1300,合計する,ごうけいする,,
1301,軌道,きどう,,
1302,開示,かいじ,,
1303,改変する,かいへんする,,
1304,オンラインストレージ,おんらいんすとれーじ,,
1305,プロフェッショナル,ぷろふぇっしょなる,,
1306,機械学習,きかいがくしゅう,,
1307,差異,さい,,
1308,ファイル共有,ふぁいるきょうゆう,,
1309,試作する,しさくする,,
1310,補う,おぎなう,,
1311,ツールバー,つーるばー,,
1312,バイナリ,ばいなり,,
1313,中核,ちゅうかく,,
1314,投稿する,とうこうする,,
1315,新設,しんせつ,,
1316,標的,ひょうてき,,
1317,光学,こうがく,,
1318,誘導,ゆうどう,,
1319,注力する,ちゅうりょくする,,
1320,テキストファイル,てきすとふぁいる,,
1321,適合する,てきごうする,,
1322,切り出す,きりだす,,
1323,習得する,しゅうとくする,,
1324,脆弱,ぜいじゃく,,
1325,適応する,てきおうする,,
1326,配線,はいせん,,
1327,保留,ほりゅう,,
1328,静止,せいし,,
1329,帳票,ちょうひょう,,
1330,衝突する,しょうとつする,,
1331,低速,ていそく,,
1332,ファイルサイズ,ふぁいるさいず,,
1333,示唆する,しさする,,
1334,職種,しょくしゅ,,
1335,製作する,せいさくする,,
1336,一種,いっしゅ,,
1337,簡潔,かんけつ,,
1338,電子マネー,でんしまねー,,
1339,コントラスト,こんとらすと,,
1340,手作業,てさぎょう,,
1341,統制,とうせい,,
1342,スペシャリスト,すぺしゃりすと,,
1343,後方,こうほう,,
1344,レビューする,れびゅーする,,
1345,強調,きょうちょう,,
1346,クリエイティブ,くりえいてぃぶ,,
1347,精通する,せいつうする,,
1348,ポータルサイト,ぽーたるさいと,,
1349,接点,せってん,,
1350,非表示,ひひょうじ,,
1351,前述,ぜんじゅつ,,
1352,判別する,はんべつする,,
1353,頻発する,ひんぱつする,,
1354,管理業務,かんりぎょうむ,,
1355,最上位,さいじょうい,,
1356,表記する,ひょうきする,,
1357,策定する,さくていする,,
1358,学術,がくじゅつ,,
1359,ブート,ぶーと,,
1360,データ構造,でーたこうぞう,,
1361,最長,さいちょう,,
1362,累積,るいせき,,
1363,ダッシュボード,だっしゅぼーど,,
1364,マルチタッチ,まるちたっち,,
1365,個数,こすう,,
1366,たどる,たどる,,
1367,データ通信,でーたつうしん,,
1368,昨今,さっこん,,
1369,マッチング,まっちんぐ,,
1370,少額,しょうがく,,
1371,カンマ,かんま,,
1372,度合い,どあい,,
1373,最大限,さいだいげん,,
1374,著しい,いちじるしい,,
1375,ワークステーション,わーくすてーしょん,,
1376,動機,どうき,,
1377,数式,すうしき,,
1378,スキャナ,すきゃな,,
1379,バーコード,ばーこーど,,
1380,非公式,ひこうしき,,
1381,ブランチ,ぶらんち,,
1382,スキップする,すきっぷする,,
1383,管理ツール,かんりつーる,,
1384,開放する,かいほうする,,
1385,サーチ,さーち,,
1386,文字化け,もじばけ,,
1387,明細,めいさい,,
1388,一式,いっしき,,
1389,コミットする,こみっとする,,
1390,文字数,もじすう,,
1391,作動する,さどうする,,
1392,除外する,じょがいする,,
1393,消滅する,しょうめつする,,
1394,ニュースフィード,にゅーすふぃーど,,
1395,納品する,のうひんする,,
1396,エフェクト,えふぇくと,,
1397,リーク,りーく,,
1398,市町村,しちょうそん,,
1399,基幹,きかん,,
1400,請け負う,うけおう,,
1401,売却,ばいきゃく,,
1402,名詞,めいし,,
1403,有する,ゆうする,,
1404,高解像度,こうかいぞうど,,
1405,分布,ぶんぷ,,
1406,チェックボックス,ちぇっくぼっくす,,
1407,認証局,にんしょうきょく,,
1408,ハッキング,はっきんぐ,,
1409,デスクトップ環境,ですくとっぷかんきょう,,
1410,踏み台,ふみだい,,
1411,モデム,もでむ,,
1412,モデリング,もでりんぐ,,
1413,ゲームソフト,げーむそふと,,
1414,形成する,けいせいする,,
1415,正規表現,せいきひょうげん,,
1416,言及する,げんきゅうする,,
1417,インターネット接続,いんたーねっとせつぞく,,
1418,グループウェア,ぐるーぷうぇあ,,
1419,既知,きち,,
1420,以後,いご,,
1421,試用,しよう,,
1422,カンファレンス,かんふぁれんす,,
1423,後述,こうじゅつ,,
1424,忠実,ちゅうじつ,,
1425,バックドア,ばっくどあ,,
1426,及ぼす,およぼす,,
1427,縦横,じゅうおう,,
1428,打ち切る,うちきる,,
1429,ファイル形式,ふぁいるけいしき,,
1430,役職,やくしょく,,
1431,平面,へいめん,,
1432,仮定する,かていする,,
1433,挿す,さす,,
1434,妥当,だとう,,
1435,伝送,でんそう,,
1436,テラバイト,てらばいと,,
1437,調節する,ちょうせつする,,
1438,バリュー,ばりゅー,,
1439,光学ドライブ,こうがくどらいぶ,,
1440,システムエンジニア,しすてむえんじにあ,,
1441,残高,ざんだか,,
1442,完結する,かんけつする,,
1443,矢印キー,やじるしきー,,
1444,由来する,ゆらいする,,
1445,オペレーション,おぺれーしょん,,
1446,コマンドプロンプト,こまんどぷろんぷと,,
1447,ハイエンド,はいえんど,,
1448,辞典,じてん,,
1449,旧バージョン,きゅうばーじょん,,
1450,処理能力,しょりのうりょく,,
1451,分岐する,ぶんきする,,
1452,制定する,せいていする,,
1453,有限,ゆうげん,,
1454,ポータブル,ぽーたぶる,,
1455,スナップショット,すなっぷしょっと,,
1456,構文,こうぶん,,
1457,破棄する,はきする,,
1458,打ち込む,うちこむ,,
1459,差し替える,さしかえる,,
1460,円滑,えんかつ,,
1461,漏洩する,ろうえいする,,
1462,画期的,かっきてき,,
1463,低コスト,ていこすと,,
1464,バッテリ,ばってり,,
1465,ふさわしい,ふさわしい,,
1466,オブジェクト指向,おぶじぇくとしこう,,
1467,起因する,きいんする,,
1468,チュートリアル,ちゅーとりある,,
1469,撮影,さつえい,,
1470,獲得できる,かくとくできる,,
1471,絞り込む,しぼりこむ,,
1472,マーカー,まーかー,,
1473,あり方,ありかた,,
1474,トリガー,とりがー,,
1475,書き出す,かきだす,,
1476,傘下,さんか,,
1477,読み上げる,よみあげる,,
1478,リニア,りにあ,,
1479,従事,じゅうじ,,
1480,冗長,じょうちょう,,
1481,コントロールパネル,こんとろーるぱねる,,
1482,偽装する,ぎそうする,,
1483,読み出す,よみだす,,
1484,輝度,きど,,
1485,増設,ぞうせつ,,
1486,赤外線,せきがいせん,,
1487,できあがる,できあがる,,
1488,施策,しさく,,
1489,工学,こうがく,,
1490,節約,せつやく,,
1491,変形,へんけい,,
1492,ファミコン,ふぁみこん,,
1493,基幹システム,きかんしすてむ,,
1494,工数,こうすう,,
1495,相関,そうかん,,
1496,提携,ていけい,,
1497,画面サイズ,がめんさいず,,
1498,低消費電力,ていしょうひでんりょく,,
1499,周期,しゅうき,,
1500,インテリジェンス,いんてりじぇんす,,
1501,コンテキスト,こんてきすと,,
1502,取り扱う,とりあつかう,,
1503,宛先,あてさき,,
1504,着目する,ちゃくもくする,,
1505,エラーメッセージ,えらーめっせーじ,,
1506,究明,きゅうめい,,
1507,損なう,そこなう,,
1508,倍増する,ばいぞうする,,
1509,煩雑,はんざつ,,
1510,サイエンス,さいえんす,,
1511,格段,かくだん,,
1512,メーター,めーたー,,
1513,寄与,きよ,,
1514,一目,いちもく,,
1515,広範,こうはん,,
1516,多発する,たはつする,,
1517,廉価,れんか,,
1518,ハードウエア,はーどうえあ,,
1519,断片化,だんぺんか,,
1520,ポートフォリオ,ぽーとふぉりお,,
1521,ボトルネック,ぼとるねっく,,
1522,換算,かんさん,,
1523,空調,くうちょう,,
1524,コードネーム,こーどねーむ,,
1525,囲う,かこう,,
1526,経理,けいり,,
1527,レガシー,れがしー,,
1528,詰め込む,つめこむ,,
1529,本件,ほんけん,,
1530,リージョン,りーじょん,,
1531,破損する,はそんする,,
1532,エミュレータ,えみゅれーた,,
1533,運用管理,うんようかんり,,
1534,ユニバーサル,ゆにばーさる,,
1535,検索機能,けんさくきのう,,
1536,親会社,おやがいしゃ,,
1537,解読する,かいどくする,,
1538,緊密,きんみつ,,
1539,実機,じっき,,
1540,留まる,とどまる,,
1541,勧告,かんこく,,
1542,データマイニング,でーたまいにんぐ,,
1543,トラッキング,とらっきんぐ,,
1544,結び付ける,むすびつける,,
1545,明記する,めいきする,,
1546,シーク,しーく,,
1547,オペレーティングシステム,おぺれーてぃんぐしすてむ,,
1548,付け加える,つけくわえる,,
1549,コーデック,こーでっく,,
1550,適宜,てきぎ,,
1551,素子,そし,,
1552,スパイウェア,すぱいうぇあ,,
1553,出題する,しゅつだいする,,
1554,踏襲する,とうしゅうする,,
1555,配備する,はいびする,,
1556,データ解析,でーたかいせき,,
1557,ストラクチャ,すとらくちゃ,,
1558,ダイレクト,だいれくと,,
1559,ネットブック,ねっとぶっく,,
1560,送信者,そうしんしゃ,,
1561,カーナビ,かーなび,,
1562,キャッチする,きゃっちする,,
1563,強いる,しいる,,
1564,ヘルパー,へるぱー,,
1565,ダイナミック,だいなみっく,,
1566,列挙する,れっきょする,,
1567,モニタリング,もにたりんぐ,,
1568,電流,でんりゅう,,
1569,リスナー,りすなー,,
1570,ペーストする,ぺーすとする,,
1571,使用率,しようりつ,,
1572,マージ,まーじ,,
1573,保障,ほしょう,,
1574,日数,にっすう,,
1575,許諾,きょだく,,
1576,採択する,さいたくする,,
1577,並列処理,へいれつしょり,,
1578,半径,はんけい,,
1579,付随する,ふずいする,,
1580,計算機,けいさんき,,
1581,シーケンス,しーけんす,,
1582,探し出す,さがしだす,,
1583,スーパーコンピュータ,すーぱーこんぴゅーた,,
1584,さらなる,さらなる,,
1585,戻せる,もどせる,,
1586,シューティングゲーム,しゅーてぃんぐげーむ,,
1587,ニックネーム,にっくねーむ,,
1588,試行する,しこうする,,
1589,半数,はんすう,,
1590,購読する,こうどくする,,
1591,秘密鍵,ひみつかぎ,,
1592,密接,みっせつ,,
1593,切り離す,きりはなす,,
1594,適時,てきじ,,
1595,システム管理,しすてむかんり,,
1596,マルチプラットフォーム,まるちぷらっとふぉーむ,,
1597,勤怠,きんたい,,
1598,メールボックス,めーるぼっくす,,
1599,ログファイル,ろぐふぁいる,,
1600,英数字,えいすうじ,,
1601,アクセス制御,あくせすせいぎょ,,
1602,環境設定,かんきょうせってい,,
1603,頭文字,かしらもじ,,
1604,ユーザー情報,ゆーざーじょうほう,,
1605,常駐する,じょうちゅうする,,
1606,片面,かためん,,
1607,敷居,しきい,,
1608,変更可能,へんこうかのう,,
1609,実例,じつれい,,
1610,時代遅れ,じだいおくれ,,
1611,記法,きほう,,
1612,レプリケーション,れぷりけーしょん,,
1613,ワープロソフト,わーぷろそふと,,
1614,同種,どうしゅ,,
1615,不都合,ふつごう,,
1616,徴収する,ちょうしゅうする,,
1617,アクセスログ,あくせすろぐ,,
1618,受託,じゅたく,,
1619,ジェスチャー,じぇすちゃー,,
1620,青色,あおいろ,,
1621,稼動する,かどうする,,
1622,振り分ける,ふりわける,,
1623,設問,せつもん,,
1624,ゴシック,ごしっく,,
1625,搬送,はんそう,,
1626,サンプリングする,さんぷりんぐする,,
1627,新版,しんぱん,,
1628,受け取り,うけとり,,
1629,ランタイム,らんたいむ,,
1630,合致,がっち,,
1631,洗練する,せんれんする,,
1632,コンシューマ,こんしゅーま,,
1633,ネットワーク接続,ねっとわーくせつぞく,,
1634,エンジニアリング,えんじにありんぐ,,
1635,堅牢,けんろう,,
1636,ユーザーアカウント,ゆーざーあかうんと,,
1637,置換する,ちかんする,,
1638,全角,ぜんかく,,
1639,トレイ,とれい,,
1640,モノクロ,ものくろ,,
1641,単体テスト,たんたいてすと,,
1642,白黒,しろくろ,,
1643,原文,げんぶん,,
1644,内線,ないせん,,
1645,持続,じぞく,,
1646,抜き出す,ぬきだす,,
1647,フルスクリーン,ふるすくりーん,,
1648,連ねる,つらねる,,
1649,開発元,かいはつもと,,
1650,余分,よぶん,,
1651,受験する,じゅけんする,,
1652,流動,りゅうどう,,
1653,意味合い,いみあい,,
1654,略称,りゃくしょう,,
1655,理念,りねん,,
1656,リーチ,りーち,,
1657,リカバリ,りかばり,,
1658,仮称,かしょう,,
1659,関わり,かかわり,,
1660,持ち出す,もちだす,,
1661,循環,じゅんかん,,
1662,ライフサイクル,らいふさいくる,,
1663,強固,きょうこ,,
1664,技法,ぎほう,,
1665,送金,そうきん,,
1666,かざす,かざす,,
1667,テキストエディタ,てきすとえでぃた,,
1668,情報管理,じょうほうかんり,,
1669,出典,しゅってん,,
1670,全文,ぜんぶん,,
1671,テザリング,てざりんぐ,,
1672,開拓,かいたく,,
1673,ミリ秒,みりびょう,,
1674,双方向通信,そうほうこうつうしん,,
1675,大まか,おおまか,,
1676,フルサイズ,ふるさいず,,
1677,情報化,じょうほうか,,
1678,無制限,むせいげん,,
1679,収容,しゅうよう,,
1680,成熟する,せいじゅくする,,
1681,好ましい,このましい,,
1682,趣旨,しゅし,,
1683,波形,はけい,,
1684,軽快,けいかい,,
1685,ずらす,ずらす,,
1686,アクションゲーム,あくしょんげーむ,,
1687,対応版,たいおうばん,,
1688,文献,ぶんけん,,
1689,支出,ししゅつ,,
1690,ゲートウェイ,げーとうぇい,,
1691,インシデント,いんしでんと,,
1692,委託,いたく,,
1693,使い捨て,つかいすて,,
1694,ファイルサーバ,ふぁいるさーば,,
1695,出資する,しゅっしする,,
1696,スイッチング,すいっちんぐ,,
1697,調整できる,ちょうせいできる,,
1698,区域,くいき,,
1699,グラフィカル,ぐらふぃかる,,
1700,シームレス,しーむれす,,
1701,ダミー,だみー,,
1702,またがる,またがる,,
1703,バナー広告,ばなーこうこく,,
1704,起点,きてん,,
1705,受け入れ,うけいれ,,
1706,イーサネット,いーさねっと,,
1707,エキスパート,えきすぱーと,,
1708,講じる,こうじる,,
1709,下図,かず,,
1710,暫定,ざんてい,,
1711,メールソフト,めーるそふと,,
1712,多種,たしゅ,,
1713,スキーマ,すきーま,,
1714,認証情報,にんしょうじょうほう,,
1715,右端,みぎはし,,
1716,人工知能,じんこうちのう,,
1717,クラスタリング,くらすたりんぐ,,
1718,指針,ししん,,
1719,解約する,かいやくする,,
1720,読み方,よみかた,,
1721,精算,せいさん,,
1722,反する,はんする,,
1723,速やか,すみやか,,
1724,ブラックリスト,ぶらっくりすと,,
1725,重宝する,ちょうほうする,,
1726,オンボード,おんぼーど,,
1727,致命,ちめい,,
1728,深度,しんど,,
1729,人名,じんめい,,
1730,プロジェクト管理,ぷろじぇくとかんり,,
1731,表計算,ひょうけいさん,,
1732,宛てる,あてる,,
1733,機能強化,きのうきょうか,,
1734,混入する,こんにゅうする,,
1735,英字,えいじ,,
1736,インテグレーション,いんてぐれーしょん,,
1737,質疑,しつぎ,,
1738,アクセス可能,あくせすかのう,,
1739,合併,がっぺい,,
1740,枠組み,わくぐみ,,
1741,スタートアップ,すたーとあっぷ,,
1742,業務アプリケーション,ぎょうむあぷりけーしょん,,
1743,簡素,かんそ,,
1744,割り込み,わりこみ,,
1745,準じる,じゅんじる,,
1746,所要,しょよう,,
1747,割り振る,わりふる,,
1748,ためらう,ためらう,,
1749,オペレータ,おぺれーた,,
1750,またぐ,またぐ,,
1751,段落,だんらく,,
1752,コマース,こまーす,,
1753,ダンプ,だんぷ,,
1754,アウトプット,あうとぷっと,,
1755,満たせる,みたせる,,
1756,ハング,はんぐ,,
1757,両社,りょうしゃ,,
1758,高速通信,こうそくつうしん,,
1759,左下,ひだりした,,
1760,シミュレートする,しみゅれーとする,,
1761,所在地,しょざいち,,
1762,直接的,ちょくせつてき,,
1763,タスクバー,たすくばー,,
1764,目次,もくじ,,
1765,上述,じょうじゅつ,,
1766,分散処理,ぶんさんしょり,,
1767,アナウンス,あなうんす,,
1768,スタートボタン,すたーとぼたん,,
1769,スプレッドシート,すぷれっどしーと,,
1770,送出する,そうしゅつする,,
1771,土台,どだい,,
1772,波紋,はもん,,
1773,不透明,ふとうめい,,
1774,試用版,しようばん,,
1775,進展,しんてん,,
1776,可変,かへん,,
1777,精細,せいさい,,
1778,転載する,てんさいする,,
1779,見栄え,みばえ,,
1780,復号する,ふくごうする,,
1781,自律,じりつ,,
1782,課す,かす,,
1783,締結,ていけつ,,
